Timestamp(s) KE PE
8.19 11.736587 4.0859978
8.2 11.16162 4.6608927
8.21 10.601097 5.221343
8.22 10.055019 5.7673488
8.23 9.5233857 6.29891
8.24 9.0061969 6.8160267
8.25 8.5034525 7.3186988
8.26 8.0151528 7.8069263
8.27 7.5412976 8.2807092
8.28 7.081887 8.7400477
8.29 6.6369209 9.1849415
8.3 6.2063994 9.6153908
8.31 5.7903225 10.031395
8.32 5.3886901 10.432956
8.33 5.0015023 10.820071
8.34 4.628759 11.192742
8.35 4.2704603 11.550969
8.36 3.9266062 11.894751
8.37 3.5971966 12.224088
8.38 3.2822316 12.538981
8.39 2.9817112 12.839429
8.4 2.6956353 13.125433
8.41 2.4240039 13.396992
8.42 2.1668172 13.654106
8.43 1.924075 13.896776
8.44 1.6957773 14.125002
8.45 1.4819242 14.338783
8.46 1.2825157 14.538119
8.47 1.0975518 14.723011
8.48 0.92703237 14.893458
8.49 0.77095753 15.04946
8.5 0.62932726 15.191018
8.51 0.50214155 15.318132
8.52 0.38940039 15.430801
8.53 0.2911038 15.529025
8.54 0.20725177 15.612805
8.55 0.13784431 15.68214
8.56 0.0828814 15.737031
8.57 0.042363055 15.777477
8.58 0.016289272 15.803479
8.59 0.0046600499 15.815036
8.6 0.0074753893 15.812148
8.61 0.02473529 15.794816
8.62 0.056439752 15.763039
8.63 0.10258878 15.716818
8.64 0.16318236 15.656152
8.65 0.23822051 15.581042
8.66 0.32770322 15.491487
8.67 0.43163048 15.387487
8.68 0.55000232 15.269043
8.69 0.68281871 15.136155
8.7 0.83007966 14.988822
8.71 0.99178518 14.827044
8.72 1.1679353 14.650822
8.73 1.3585299 14.460155
8.74 1.5635691 14.255043
8.75 1.7830528 14.035487
8.76 2.0169812 13.801487
8.77 2.2653541 13.553042
8.78 2.5281715 13.290152
8.79 2.8054335 13.012818
8.8 3.0971401 12.721039
8.81 3.4032912 12.414816
8.82 3.7238869 12.094148
8.83 4.0589271 11.759035
8.84 4.408412 11.409478
8.85 4.7723413 11.045477
8.86 5.1507153 10.66703
8.87 5.5435338 10.27414
8.88 5.9507968 9.8668044
8.89 6.3725044 9.4450246
8.9 6.8086566 9.0088002
